dayofweek,date,holiday_category,holiday_type,holiday_code,holiday,notes,ISO_date,rollup_date,Regional,RGR,lower_window,upper_window,prior_scale
Friday,November 13 2015,R,Regional,Regional,Christchurch Show Day,Northern and Central Canterbury. Second Friday after the first Tuesday in November,13/11/2015, 15/11/2015,1,RGR Christchurch City,-1,0,1
Monday,November 30 2015,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),30/11/2015, 29/11/2015,1,RGR West Coast,-1,0,1
Monday,November 30 2015,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,30/11/2015, 29/11/2015,1,,-1,0,1
Friday,December 25 2015,X,National,Christmas Day,Christmas Day,No Notes,25/12/2015, 27/12/2015,0,,-1,0,2
Saturday,December 26 2015,BD,National,Boxing Day,Boxing Day,No Notes,26/12/2015, 27/12/2015,0,,-1,0,1
Monday,December 28 2015,BD,National,Boxing Day,Boxing Day (in lieu),No Notes,28/12/2015, 27/12/2015,0,,-1,0,1
Friday,January 01 2016,NY,National,New Years Day,New Years Day,No Notes,1/01/2016, 03/01/2016,0,,-1,0,2
Monday,January 04 2016,N,National,New Years Day,Day after New Years Day (in lieu),No Notes,4/01/2016, 03/01/2016,0,,-1,0,1
Monday,January 25 2016,R,Regional,Regional,Wellington Anniversary Day,Monday closest to 22 January,25/01/2016, 24/01/2016,1,RGR Wellington City |  RGR Wellington Region |  RGR Wairarapa,-1,0,1
Monday,February 01 2016,R,Regional,Regional,Auckland Anniversary Day,Monday nearest to January 29 (Auckland Anniversary Day),1/02/2016, 31/01/2016,1,RGR Auckland Central | RGR Auckland East | RGR Auckland North | RGR Auckland South |  RGR Auckland West |  RGR Hamilton |  RGR Waikato |  RGR Taupo |  RGR Tauranga |  RGR BOP Region |  RGR Coromandel West Bay of Plenty |  RGR Manawatu |  RGR Counties,-1,0,1
Monday,February 01 2016,R,Regional,Regional,Nelson Anniversary Day,Monday nearest to February 1,1/02/2016, 31/01/2016,1,RGR Nelson,-1,0,1
Monday,February 08 2016,R,Regional,Regional,Waitangi Day,National Day,8/02/2016, 07/02/2016,0,,-1,0,1
Monday,March 14 2016,R,Regional,Regional,Taranaki Anniversary Day,Second Monday in March,14/03/2016, 13/03/2016,1,RGR Taranaki,-1,0,1
Monday,March 21 2016,R,Regional,Regional,Otago Anniversary Day,Monday nearest to the actual day,21/03/2016, 20/03/2016,1,RGR Otago,-1,0,1
Friday,March 25 2016,R,National,Good Friday,Good Friday,The Friday before Easter Sunday,25/03/2016, 27/03/2016,0,,-1,0,1
Monday,March 28 2016,N,National,Easter Monday,Easter Monday,Monday after Easter Sunday,28/03/2016, 27/03/2016,0,,-1,0,1
Tuesday,March 29 2016,R,Regional,Regional,Southland Anniversary Day,Observed on Easter Tuesday,29/03/2016, 03/04/2016,1,RGR Southland,-1,0,1
Monday,April 25 2016,N,National,Anzac Day,Anzac Day,No Notes,25/04/2016, 24/04/2016,0,,-1,0,1
Sunday,May 08 2016,R,Regional,Regional,Mother's Day,2nd Sunday in May. Not a public holiday,8/05/2016, 08/05/2016,0,,-1,0,1
Monday,June 06 2016,N,National,Queen's Birthday,Queen's Birthday,The first Monday in June,6/06/2016, 05/06/2016,0,,-1,0,1
Sunday,September 04 2016,R,Regional,Regional,Father's Day,1st Sunday in September. Not a public holiday,4/09/2016, 04/09/2016,0,,-1,0,1
Monday,September 26 2016,R,Regional,Regional,Dominion Day,Fourth Monday in September,26/09/2016, 25/09/2016,1,RGR Canterbury,-1,0,1
Friday,October 21 2016,R,Regional,Regional,Hawkes Bay Anniversary Day,Friday before Labour Day,21/10/2016, 23/10/2016,1,RGR Hawkes Bay,-1,0,1
Monday,October 24 2016,N,National,Labour Day,Labour Day,The fourth Monday in October,24/10/2016, 23/10/2016,0,,-1,0,1
Monday,October 31 2016,R,Regional,Regional,Marlborough Anniversary Day,First Monday after Labour Day,31/10/2016, 30/10/2016,1,RGR Nelson,-1,0,1
Friday,November 11 2016,R,Regional,Regional,Christchurch Show Day,Northern and Central Canterbury. Second Friday after the first Tuesday in November,11/11/2016, 13/11/2016,1,RGR Christchurch City,-1,0,1
Monday,November 28 2016,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),28/11/2016, 27/11/2016,1,RGR West Coast,-1,0,1
Monday,November 28 2016,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,28/11/2016, 27/11/2016,1,,-1,0,1
Sunday,December 25 2016,X,Regional,Regional,Christmas Day,No Notes,25/12/2016, 25/12/2016,0,,-1,0,2
Monday,December 26 2016,BD,National,Boxing Day,Boxing Day,No Notes,26/12/2016, 25/12/2016,0,,-1,0,1
Tuesday,December 27 2016,X,National,Christmas Day,Christmas Day (in lieu),No Notes,27/12/2016, 01/01/2017,0,,-1,0,2
Sunday,January 01 2017,NY,National,New Years Day,New Years Day,No Notes,1/01/2017, 01/01/2017,0,,-1,0,2
Monday,January 02 2017,N,National,New Years Day,Day after New Years Day,No Notes,2/01/2017, 01/01/2017,0,,-1,0,1
Tuesday,January 03 2017,NY,National,New Years Day,New Year's Day (in lieu),No Notes,3/01/2017, 08/01/2017,0,,-1,0,2
Monday,January 23 2017,R,Regional,Regional,Wellington Anniversary Day,Monday closest to 22 January,23/01/2017, 22/01/2017,1,RGR Wellington City |  RGR Wellington Region |  RGR Wairarapa,-1,0,1
Monday,January 30 2017,R,Regional,Regional,Auckland Anniversary Day,Monday nearest to January 29 (Auckland Anniversary Day),30/01/2017, 29/01/2017,1,RGR Auckland Central | RGR Auckland East | RGR Auckland North | RGR Auckland South |  RGR Auckland West |  RGR Hamilton |  RGR Waikato |  RGR Taupo |  RGR Tauranga |  RGR BOP Region |  RGR Coromandel West Bay of Plenty |  RGR Manawatu |  RGR Counties,-1,0,1
Monday,January 30 2017,R,Regional,Regional,Nelson Anniversary Day,Monday nearest to February 1,30/01/2017, 29/01/2017,1,RGR Nelson,-1,0,1
Monday,February 06 2017,W,National,Waitangi Day,Waitangi Day,National Day,6/02/2017, 05/02/2017,0,,-1,0,2
Monday,March 13 2017,R,Regional,Regional,Taranaki Anniversary Day,Second Monday in March,13/03/2017, 12/03/2017,1,RGR Taranaki,-1,0,1
Monday,March 20 2017,R,Regional,Regional,Otago Anniversary Day,Monday nearest to the actual day,20/03/2017, 19/03/2017,1,RGR Otago,-1,0,1
Friday,April 14 2017,N,National,Good Friday,Good Friday,The Friday before Easter Sunday,14/04/2017, 09/04/2017,0,,-1,0,1
Monday,April 17 2017,N,National,Easter Monday,Easter Monday,Monday after Easter Sunday,17/04/2017, 16/04/2017,0,,-1,0,1
Tuesday,April 18 2017,R,Regional,Regional,Southland Anniversary Day,Observed on Easter Tuesday,18/04/2017, 16/04/2017,1,RGR Southland,-1,0,1
Tuesday,April 25 2017,N,National,Anzac Day,Anzac Day,No Notes,25/04/2017, 30/04/2017,0,,-1,0,1
Sunday,May 14 2017,R,Regional,Regional,Mother's Day,2nd Sunday in May. Not a public holiday,14/05/2017, 14/05/2017,0,,-1,0,1
Monday,June 05 2017,N,National,Queen's Birthday,Queen's Birthday,The first Monday in June,5/06/2017, 04/06/2017,0,,-1,0,1
Sunday,September 03 2017,R,Regional,Regional,Father's Day,1st Sunday in September. Not a public holiday,3/09/2017, 03/09/2017,0,,-1,0,1
Monday,September 25 2017,R,Regional,Regional,Dominion Day,Fourth Monday in September,25/09/2017, 24/09/2017,1,RGR Canterbury,-1,0,1
Friday,October 20 2017,R,Regional,Regional,Hawkes Bay Anniversary Day,Friday before Labour Day,20/10/2017, 22/10/2017,1,RGR Hawkes Bay,-1,0,1
Monday,October 23 2017,N,National,Labour Day,Labour Day,The fourth Monday in October,23/10/2017, 22/10/2017,0,,-1,0,1
Monday,October 30 2017,R,Regional,Regional,Marlborough Anniversary Day,First Monday after Labour Day,30/10/2017, 29/10/2017,1,RGR Nelson,-1,0,1
Friday,November 17 2017,R,Regional,Regional,Christchurch Show Day,Northern and Central Canterbury. Second Friday after the first Tuesday in November,17/11/2017, 19/11/2017,1,RGR Christchurch City,-1,0,1
Monday,November 27 2017,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,27/11/2017, 26/11/2017,1,,-1,0,1
